Nr,Livello Auto,Brand,Tipo Auto,Modello,G,Allestimento,Alimentazione,Emissioni Co2 
1,Standard,MINI,SNI,COUNTRYMAN COOPER D ,ciao,_,DIESEL,135-145
2,Standard,AUDI,SUV,Q2,ciao,30 TDI  STRONIC BUSINESS,DIESEL,124-136
3,Standard,AUDI,BERLINA,A3 SPORTBACK,ciao,35 TDI STRONIC BUSINESS,DIESEL,118-133
4,Standard,AUDI,SW,A4 AVANT,ciao,35 TDI BUSINESS  STRONIC,Mild Hybrid Diesel,127-148
5,Standard,AUDI,SUV,Q3,ciao,35 TDI BUSINESS  STRONIC,DIESEL,141-157
6,Standard,VW,SW,Passat Variant,ciao,Business 2.0 TDI SCR 150cv EVO DSG,DIESEL,130-140
7,Standard,BMW,SW,SERIE 5 - 520d  48V xDrive Touring,ciao, Business,Mild Hybrid Diesel,139-158
8,Standard,BMW,TOURING,SERIE 3 - 320D XDRIVE TOURING,ciao,Business Advantage,DIESEL,134-155
9,Standard,BMW,MONOVOLUME,SERIE 2 GRAN TOURER - 220D XDRIVE GRAN TOURER 7P.,ciao,BUSINESS,DIESEL,147-154
10,Standard,AUDI,SUV - COUPE',Q3 SPORTBACK,ciao,35 TDI BUSINESS  PLUS STRONIC,DIESEL,143-155
11,Standard,AUDI,SW,A6 AVANT,ciao,40 TDI BUSINESS QUATTRO STRONIC ,Mild Hybrid Diesel,140-160
12,Standard,BMW,BERLINA,SERIE 5 - 530E XDRIVE BERLINA,ciao,,Plug in Hybrid Benzina,36-49
13,Standard,BMW,SUV,X3 30E XDRIVE,ciao,BUSINESS ADVANTAGE,Plug in Hybrid Benzina,43-53
14,Standard,BMW,TOURING,SERIE 5 - 530E XDRIVE TOURING,ciao,,Plug in Hybrid Benzina,41-45
15,Standard,BMW,COUPE,SERIE 4 GRAN COUPE' - 430D XDRIVE COUPE' ,ciao,SPORT,DIESEL,137-152
16,Standard,AUDI,SUV,Q5,ciao,50 TFSI e BUSINESS QUATTRO STRONIC,Plug in Hybrid Benzina,35-42
17,Top Premium,AUDI,SUV - COUPE',Q5 SPORTBACK,ciao,50 TFSI e BUSINESS ADVANCED QUATTRO STRONIC,Plug in Hybrid Benzina,35-43
18,Top Premium,AUDI,BERLINA,A7 SPORTBACK,ciao,50 TFSI e QUATTRO STRONIC,Plug in Hybrid Benzina,33-49
19,Top Premium,VW,SUV,Touareg,ciao,3.0 V6 TSI eHYBRID Elegance,Plug in Hybrid Benzina,60-65
20,Top Premium,BMW,SUV,X5 45E,ciao,,Plug in Hybrid Benzina,27-39
21,Top Premium,AUDI,SUV - COUPE',Q8,ciao,55 TFSI e SPORT QUATTRO TIPTRONIC,Plug in Hybrid Benzina,63 - 70
22,Top Premium,AUDI,SUV,Q7,ciao,55 TFSI e QUATTRO TIPTRONIC,Plug in Hybrid Benzina,55-88
